,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
0,../data/AK/32.ann,1 bread,bread,bread,Full Term Match,'bread and similar products (eurofir):FOODON_03400817'
1,../data/AK/32.ann,2 American cheese,american cheese,american cheese,Component Match,'american:EFO_0003151'
1,../data/AK/32.ann,2 American cheese,american cheese,american cheese,Component Match, 'cheese food product:FOODON_00001013'
2,../data/AK/32.ann,3 mayonnaise,mayonnaise,mayonnaise,Full Term Match,'mayonnaise:FOODON_03301440'
0,../data/AK/2.ann,1 coconuts,coconut,coconut,Full Term Match,'coconut (whole):FOODON_00003449'
1,../data/AK/2.ann,2 evaporated milk,evaporated milk,evaporated milk,Full Term Match,'evaporated milk:FOODON_03301505'
2,../data/AK/2.ann,3 gin,gin,gin,Full Term Match,'gin:FOODON_03309491'
3,../data/AK/2.ann,4 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
4,../data/AK/2.ann,5 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
5,../data/AK/2.ann,6 nutmeg,nutmeg,nutmeg {myristica fragrans},Full Term Match,'nutmeg seed (ground):FOODON_03301528'
0,../data/AK/46.ann,1 chives,chive,chive {allium schoenoprasum},Full Term Match,'chive leaf (whole
0,../data/AK/46.ann,1 chives,chive,chive {allium schoenoprasum},Full Term Match, raw):FOODON_03311167'
1,../data/AK/46.ann,2 clarified butter,clarified butter,clarified butter,Full Term Match,'31400 - butter oil (efsa foodex2):FOODON_03543140'
2,../data/AK/46.ann,3 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
3,../data/AK/46.ann,4 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
4,../data/AK/46.ann,5 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
0,../data/AK/45.ann,1 vegetables,vegetable,vegetable,Full Term Match,'vegetable (whole or parts):FOODON_03315308'
1,../data/AK/45.ann,2 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
2,../data/AK/45.ann,3 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
3,../data/AK/45.ann,4 mushroom soup,mushroom soup,mushroom soup,Full Term Match,'mushroom soup food product:FOODON_00002049'
4,../data/AK/45.ann,5 cream of mushroom soup,cream of mushroom soup,cream of mushroom soup,Full Term Match,'cream of mushroom soup:FOODON_03305128'
5,../data/AK/45.ann,6 margarine,margarine,margarine,Full Term Match,'margarine:FOODON_03301672'
6,../data/AK/45.ann,7 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
7,../data/AK/45.ann,8 chicken,chicken,chicken {gallus gallus},Full Term Match,'chicken:FOODON_03411457'
8,../data/AK/45.ann,9 chicken flavor stuffing mix,chicken flavor stuffing mixture,chicken {gallus gallus} flavor stuffing mixture,Component Match,'chicken mixture:FOODON_00003849'
8,../data/AK/45.ann,9 chicken flavor stuffing mix,chicken flavor stuffing mixture,chicken {gallus gallus} flavor stuffing mixture,Component Match, 'food filling product:FOODON_00001868'
0,../data/AK/24.ann,1 saffron,saffron,saffron,Full Term Match,'saffron thread:FOODON_00003441'
1,../data/AK/24.ann,2 water,water,water,Full Term Match,'water:CHEBI_15377'
2,../data/AK/24.ann,3 greek yogurt,greek yogurt,greek yogurt,Full Term Match,'strained yogurt:FOODON_00003258'
3,../data/AK/24.ann,4 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
4,../data/AK/24.ann,5 cardamom,cardamom,cardamom,Full Term Match,'cardamom seed (whole):FOODON_00003792'
5,../data/AK/24.ann,6 whipped cream,whipped cream,whipped cream,Full Term Match,'whipped cream:FOODON_03302897'
6,../data/AK/24.ann,7 crushed nut,crushed nut,crushed nut,Component Match,'nut (whole):FOODON_03303171'
0,../data/AK/30.ann,1 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
1,../data/AK/30.ann,2 vanilla extract,vanilla extract,vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
2,../data/AK/30.ann,3 banana,banana,banana {musa x paradisiaca},Full Term Match,'cavendish banana (whole
2,../data/AK/30.ann,3 banana,banana,banana {musa x paradisiaca},Full Term Match, ripe):FOODON_03311513'
3,../data/AK/30.ann,4 half-and-half,half and,half and,No Match,
4,../data/AK/30.ann,5 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
