,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
0,../data/AK/2.ann,1 ground,ground,ground,No Match,
1,../data/AK/2.ann,2 freshly grated,freshly grated,freshly grated,No Match,
0,../data/AK/46.ann,1 chopped,chopped,chopped,No Match,
0,../data/AK/45.ann,1 cooked,cooked,cooked,Full Term Match,'food (cooked):FOODON_00001181'
1,../data/AK/45.ann,2 shredded,shredded,shredded,No Match,
0,../data/AK/24.ann,1 ground,ground,ground,No Match,
0,../data/AK/30.ann,1 ground,ground,ground,No Match,
1,../data/AK/30.ann,2 mashed,mashed,mashed,Full Term Match,'semisolid with smooth consistency:FOODON_03430119'
0,../data/AK/43.ann,1 slivered,slivered,slivered,No Match,
1,../data/AK/43.ann,2 cooked,cooked,cooked,Full Term Match,'food (cooked):FOODON_00001181'
2,../data/AK/43.ann,3 crubled,crubled,crubled,No Match,
3,../data/AK/43.ann,4 shredded,shredded,shredded,No Match,
4,../data/AK/43.ann,5 chopped,chopped,chopped,No Match,
0,../data/AK/3.ann,1 broken in half,broken in half,broken in half,No Match,
0,../data/AK/15.ann,1 shredded,shredded,shredded,No Match,
1,../data/AK/15.ann,2 baked,baked,baked,Full Term Match,'food (baked):FOODON_00002456'
0,../data/AK/38.ann,1 blanched,blanched,blanched,No Match,
1,../data/AK/38.ann,2 drained,drained,drained,No Match,
0,../data/AK/49.ann,1 shredded,shredded,shredded,No Match,
1,../data/AK/49.ann,2 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
2,../data/AK/49.ann,3 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
0,../data/AK/27.ann,1 cored,cored,cored,No Match,
1,../data/AK/27.ann,2 diced,diced,diced,No Match,
0,../data/AK/5.ann,1 chopped,chopped,chopped,No Match,
1,../data/AK/5.ann,2 skins removed,skin removed,skin removed,Component Match,'skin of body:UBERON_0002097'
0,../data/AK/21.ann,1 softened,softened,softened,No Match,
0,../data/AK/23.ann,1 prepared hot,prepared hot,prepared hot,Component Match,'prepared seafood product:FOODON_00002471'
1,../data/AK/23.ann,2 cooled,cooled,cooled,No Match,
0,../data/AK/40.ann,1 completely defrosted,completely defrosted,completely defrosted,No Match,
