,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
0,../data/AL/2.ann,1 evaporated,evaporated,evaporated,No Match,
1,../data/AL/2.ann,2 ground,ground,ground,No Match,
0,../data/AL/46.ann,1 clarified,clarified,clarified,No Match,
1,../data/AL/46.ann,2 chopped,chopped,chopped,No Match,
0,../data/AL/45.ann,1 cooked,cooked,cooked,Full Term Match,'food (cooked):FOODON_00001181'
1,../data/AL/45.ann,2 shredded,shredded,shredded,No Match,
0,../data/AL/24.ann,1 whipped,whipped,whipped,No Match,
1,../data/AL/24.ann,2 crushed,crushed,crushed,No Match,
2,../data/AL/24.ann,3 powdered,powdered,powdered,No Match,
3,../data/AL/24.ann,4 ground,ground,ground,No Match,
0,../data/AL/30.ann,1 ground,ground,ground,No Match,
1,../data/AL/30.ann,2 mashed,mashed,mashed,Full Term Match,'semisolid with smooth consistency:FOODON_03430119'
2,../data/AL/30.ann,3 condensed,condensed,condensed,No Match,
0,../data/AL/43.ann,1 chopped,chopped,chopped,No Match,
1,../data/AL/43.ann,2 shredded,shredded,shredded,No Match,
2,../data/AL/43.ann,3 cooked,cooked,cooked,Full Term Match,'food (cooked):FOODON_00001181'
3,../data/AL/43.ann,4 crubled,crubled,crubled,No Match,
0,../data/AL/15.ann,1 baked,baked,baked,Full Term Match,'food (baked):FOODON_00002456'
1,../data/AL/15.ann,2 shredded,shredded,shredded,No Match,
0,../data/AL/38.ann,1 blanched,blanched,blanched,No Match,
1,../data/AL/38.ann,2 drained,drained,drained,No Match,
0,../data/AL/49.ann,1 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
1,../data/AL/49.ann,2 sliced,sliced,sliced,Full Term Match,'food (sliced):FOODON_00002455'
2,../data/AL/49.ann,3 shredded,shredded,shredded,No Match,
0,../data/AL/27.ann,1 cored,cored,cored,No Match,
1,../data/AL/27.ann,2 diced,diced,diced,No Match,
0,../data/AL/11.ann,1 whipped,whipped,whipped,No Match,
0,../data/AL/5.ann,1 chopped,chopped,chopped,No Match,
0,../data/AL/21.ann,1 softened,softened,softened,No Match,
0,../data/AL/23.ann,1 prepared hot,prepared hot,prepared hot,Component Match,'prepared seafood product:FOODON_00002471'
1,../data/AL/23.ann,2 cooled,cooled,cooled,No Match,
0,../data/AL/40.ann,1 completely defrosted,completely defrosted,completely defrosted,No Match,
0,../data/AL/13.ann,1 rinsed,rinsed,rinsed,No Match,
1,../data/AL/13.ann,2 drained,drained,drained,No Match,
2,../data/AL/13.ann,3 ground,ground,ground,No Match,
3,../data/AL/13.ann,4 minced,minced,minced,No Match,
4,../data/AL/13.ann,5 roasted,roasted,roasted,Full Term Match,'food (roasted):FOODON_00002744'
5,../data/AL/13.ann,6 drained,drained,drained,No Match,
