,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
0,../data/Kuba/32.ann,1 mayonnaise,mayonnaise,mayonnaise,Full Term Match,'mayonnaise:FOODON_03301440'
1,../data/Kuba/32.ann,2 American cheese,american cheese,american cheese,Component Match,'american:EFO_0003151'
1,../data/Kuba/32.ann,2 American cheese,american cheese,american cheese,Component Match, 'cheese food product:FOODON_00001013'
2,../data/Kuba/32.ann,3 bread,bread,bread,Full Term Match,'bread and similar products (eurofir):FOODON_03400817'
0,../data/Kuba/2.ann,1 coconuts,coconut,coconut,Full Term Match,'coconut (whole):FOODON_00003449'
1,../data/Kuba/2.ann,2 evaporated milk,evaporated milk,evaporated milk,Full Term Match,'evaporated milk:FOODON_03301505'
2,../data/Kuba/2.ann,3 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
3,../data/Kuba/2.ann,4 nutmeg,nutmeg,nutmeg {myristica fragrans},Full Term Match,'nutmeg seed (ground):FOODON_03301528'
4,../data/Kuba/2.ann,5 gin,gin,gin,Full Term Match,'gin:FOODON_03309491'
5,../data/Kuba/2.ann,6 sugar (optional),sugar optional,sugar optional,Component Match,'sugar:FOODON_03420108'
0,../data/Kuba/46.ann,1 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
1,../data/Kuba/46.ann,2 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
2,../data/Kuba/46.ann,3 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
3,../data/Kuba/46.ann,4 optional chives,optional chive,optional chive {allium schoenoprasum},Component Match,'chive leaf (whole
3,../data/Kuba/46.ann,4 optional chives,optional chive,optional chive {allium schoenoprasum},Component Match, raw):FOODON_03311167'
4,../data/Kuba/46.ann,5 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
0,../data/Kuba/45.ann,1 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
1,../data/Kuba/45.ann,2 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
2,../data/Kuba/45.ann,3 mushroom soup,mushroom soup,mushroom soup,Full Term Match,'mushroom soup food product:FOODON_00002049'
3,../data/Kuba/45.ann,4 cream of mushroom soup,cream of mushroom soup,cream of mushroom soup,Full Term Match,'cream of mushroom soup:FOODON_03305128'
4,../data/Kuba/45.ann,5 stuffing mix,stuffing mixture,stuffing mixture,Component Match,'food filling product:FOODON_00001868'
4,../data/Kuba/45.ann,5 stuffing mix,stuffing mixture,stuffing mixture,Component Match, 'mixture:CHEBI_60004'
5,../data/Kuba/45.ann,6 chicken,chicken,chicken {gallus gallus},Full Term Match,'chicken:FOODON_03411457'
6,../data/Kuba/45.ann,7 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
7,../data/Kuba/45.ann,8 margarine,margarine,margarine,Full Term Match,'margarine:FOODON_03301672'
8,../data/Kuba/45.ann,9 vegetables,vegetable,vegetable,Full Term Match,'vegetable (whole or parts):FOODON_03315308'
0,../data/Kuba/24.ann,1 saffron,saffron,saffron,Full Term Match,'saffron thread:FOODON_00003441'
